yr,Real_Year,aflow,mflow,jflow,peak,apesst,maesst,jnesst,appsst,mapsst,jnpsst,jlpsst,pdo
2001,2003,2.057,3.699032258,6.448,7.3,9.23,8.36,16.2,8.74,9.55,10.06,10.05,1.792
2002,2004,2.440333333,4.390322581,5.377,6.65,11.97,14.52,17.24,8.74,9.22,9.94,10.48,0.474
2003,2005,2.368333333,5.46516129,6.105333333,7.46,10.67,12.84,16.59,8.54,9.92,10.39,10.86,0.362
2004,2006,1.913433333,4.470967742,5.900333333,7.19,9.48,12.63,17.1,8.35,9.07,9.98,10.43,0.088
2005,2007,2.775333333,5.497096774,8.272,10.8,9.75,12.98,16.12,7.87,8.59,9.42,10.26,-0.078
2006,2008,1.103933333,5.986774194,7.195,10.2,9.34,9.92,17.09,7.31,8.17,8.63,9.45,-0.828
2007,2009,1.9589,4.665806452,6.609333333,7.49,9.63,13.12,16.64,7.16,6.59,9.24,9.55,-1.332
2008,2010,1.785,3.43483871,5.4,5.95,9.62,12.11,14.56,8.47,8.99,9.55,10.06,0.354
2009,2011,1.342166667,5.660774194,9.001966667,9.947,8.3,14.09,14.49,7.88,8.4,9.17,9.52,-0.894
2010,2012,2.644766667,5.747064516,9.4336,11.725,9.09,12.26,13.67,7.81,8.44,9.08,9.23,-1.48
2011,2013,2.558733333,7.091322581,7.540758621,10.077,10.03,12.09,16.06,7.83,9.15,9.65,10.44,-0.452
2012,2014,1.984433333,6.681612903,7.286666667,9.97,9.18,13.02,16.1,8.49,9.88,9.84,10.36,0.226
2013,2015,3.719,5.23716129,6.2078,7.95,11.07,15.07,17.57,10.33,10.56,10.48,11.61,2.196
2014,2016,3.799666667,5.158064516,4.919666667,6.03,11.38,14.4,16.46,10.03,10.72,11.37,11.64,1.51
2015,2017,2.333517151,5.415619814,7.787249835,9.710555556,9.18,12.18,15.15,9.33,10.1,11.22,11.46,1.052
2016,2018,1.81430391,9.10529229,6.152412799,10.86215278,9.41,14.32,15.01,8.62,9.65,10.95,11.6,0.334
2017,2019,2.639,4.686,5.367,7.178,9.62,13.13,16.02,10.03,9.92,11.15,12.38,0.392
2018,2020,2.292,6.67,8.642,10.614,9.86,13.59,15.19,8.61,11,10.96,12.37,-0.122
2019,2021,2.375,6.002,7.643,9.639,9.63,12.68,16.62,9.39,9.73,10.83,11.27,-0.778
,,,,,,,,,,,,,
,,,,,,,,,,,,,
, ,,,,,,,,,,,,
