Pop_Name,yr,rec4,rec5,R,S
Birkenhead,1962,66117,8304,74421,14311
Birkenhead,1963,281641,48565,330206,20769
Birkenhead,1964,225898,85137,311035,27978
Birkenhead,1965,109033,14770,123803,9769
Birkenhead,1966,155016,61319,216335,13462
Birkenhead,1967,365358,45896,411254,17580
Birkenhead,1968,218223,35366,253589,31042
Birkenhead,1969,451184,239195,690379,14324
Birkenhead,1970,531214,30799,562013,19252
Birkenhead,1971,245897,46347,292244,16143
Birkenhead,1972,424942,46655,471597,26202
Birkenhead,1973,140353,24973,165326,28374
Birkenhead,1974,424633,207538,632171,85495
Birkenhead,1975,80976,18616,99592,19653
Birkenhead,1976,479356,84392,563748,50023
Birkenhead,1977,287020,98126,385146,12799
Birkenhead,1978,493542,117215,610757,48158
Birkenhead,1979,273583,121177,394760,35168
Birkenhead,1980,115564,36212,151776,32786
Birkenhead,1981,105179,156430,261609,27175
Birkenhead,1982,1471487,281339,1752826,72353
Birkenhead,1983,625519,149561,775080,21069
Birkenhead,1984,347631,86729,434360,23226
Birkenhead,1985,123208,93098,216306,5757
Birkenhead,1986,869228,315301,1184529,197841
Birkenhead,1987,698300,279598,977898,89492
Birkenhead,1988,200724,664723,865447,75537
Birkenhead,1989,935181,173958,1109139,15690
Birkenhead,1990,200407,24968,225375,97108
Birkenhead,1991,55270,61746,117016,152077
Birkenhead,1992,47661,46563,94224,93445
Birkenhead,1993,180208,380162,560370,151089
Birkenhead,1994,21899,40686,62585,22315
Birkenhead,1995,141021,28997,170018,18407
Birkenhead,1996,34094,41519,75613,27824
Birkenhead,1997,18165,10200,28365,23274
Birkenhead,1998,213323,403021,616344,173098
Birkenhead,1999,47311,36027,83338,26220
Birkenhead,2000,63710,37603,101313,8333
Birkenhead,2001,110415,81203,191618,28361
Birkenhead,2002,502582,129934,632516,107481
Birkenhead,2003,6064,7010,13074,152657
Birkenhead,2004,46487,29866,76353,17516
Birkenhead,2005,33023,51290,84313,27117
Birkenhead,2006,257819,178240,436059,137365
Birkenhead,2007,188807,54481,243288,54290
Birkenhead,2008,46573,23300,69873,6788
Birkenhead,2009,68048,72094,140142,34475
Birkenhead,2010,28555,5636,34191,67762
Birkenhead,2011,55477,34018,89495,92420
Birkenhead,2012,15555,7773,23328,2549
Birkenhead,2013,14138,27454,41592,46795
Birkenhead,2014,8343,3214,11557,19612
Birkenhead,2015,1050,324,1374,26687
Birkenhead,2016,7127,6435,13562,13475
Birkenhead,2017,52180,37713,89893,9901
Birkenhead,2018,158396,NA,NA,7233
Birkenhead,2019,NA,NA,NA,1984
Birkenhead,2020,NA,NA,NA,1635
Weaver Creek,1966,73515,1939,75454,9860
Weaver Creek,1967,77288,8421,85709,10618
Weaver Creek,1968,141825,10577,152402,2202
Weaver Creek,1969,371636,38246,409882,30604
Weaver Creek,1970,371993,4653,376646,5003
Weaver Creek,1971,139598,2345,141943,2656
Weaver Creek,1972,331589,11114,342703,15026
Weaver Creek,1973,257812,11669,269481,24885
Weaver Creek,1974,252878,26097,278975,28099
Weaver Creek,1975,165459,1479,166938,16033
Weaver Creek,1976,271322,23704,295026,28243
Weaver Creek,1977,217049,15719,232768,28510
Weaver Creek,1978,1184905,170418,1355323,42315
Weaver Creek,1979,128249,11535,139784,25702
Weaver Creek,1980,331805,29742,361547,43286
Weaver Creek,1981,206879,60505,267384,22627
Weaver Creek,1982,1275213,221670,1496883,115030
Weaver Creek,1983,219473,18144,237617,27380
Weaver Creek,1984,575398,51913,627311,30434
Weaver Creek,1985,48781,19418,68199,22773
Weaver Creek,1986,39242,3417,42659,41837
Weaver Creek,1987,192151,27769,219920,30105
Weaver Creek,1988,334751,175848,510599,27428
Weaver Creek,1989,684087,70074,754161,10365
Weaver Creek,1990,600890,27875,628765,8530
Weaver Creek,1991,48888,16397,65285,18489
Weaver Creek,1992,624100,128433,752533,28480
Weaver Creek,1993,381020,119185,500205,34018
Weaver Creek,1994,646785,69090,715875,30208
Weaver Creek,1995,170376,95953,266329,10904
Weaver Creek,1996,350965,32221,383186,26848
Weaver Creek,1997,192696,23291,215987,10724
Weaver Creek,1998,500753,65956,566709,29811
Weaver Creek,1999,182595,64316,246911,13106
Weaver Creek,2000,104221,9522,113743,2732
Weaver Creek,2001,145865,50168,196033,8035
Weaver Creek,2002,227687,14822,242509,36269
Weaver Creek,2003,127468,61308,188776,24683
Weaver Creek,2004,55327,55643,110970,13968
Weaver Creek,2005,60582,4536,65118,23597
Weaver Creek,2006,228119,21500,249619,13618
Weaver Creek,2007,314083,14164,328247,15825
Weaver Creek,2008,16273,46948,63221,617
Weaver Creek,2009,204609,25468,230077,12871
Weaver Creek,2010,113627,10889,124516,25328
Weaver Creek,2011,532,21,553,24535
Weaver Creek,2012,1020,636,1656,397
Weaver Creek,2013,62623,30421,93044,15535
Weaver Creek,2014,20584,1037,21621,10446
Weaver Creek,2015,2571,136,2707,1133
Weaver Creek,2016,214,0,214,94
Weaver Creek,2017,156011,101423,257434,14382
Weaver Creek,2018,348095,NA,NA,8547
Weaver Creek,2019,NA,NA,NA,1015
Weaver Creek,2020,NA,NA,NA,38
Fennel Creek,1967,15201,0,15201,294
Fennel Creek,1968,14846,169,15015,577
Fennel Creek,1969,881,0,881,22
Fennel Creek,1970,740,0,740,5
Fennel Creek,1971,15407,819,16226,306
Fennel Creek,1972,28193,205,28398,1030
Fennel Creek,1973,1106,0,1106,83
Fennel Creek,1974,536,0,536,70
Fennel Creek,1975,58841,2143,60984,2181
Fennel Creek,1976,20252,1106,21358,2373
Fennel Creek,1977,7426,1704,9130,174
Fennel Creek,1978,2230,0,2230,46
Fennel Creek,1979,9084,5145,14229,8046
Fennel Creek,1980,34268,1702,35970,4413
Fennel Creek,1981,2742,1205,3947,1067
Fennel Creek,1982,9104,1724,10828,656
Fennel Creek,1983,35855,2395,38250,2596
Fennel Creek,1984,42781,4283,47064,6291
Fennel Creek,1985,23647,8179,31826,696
Fennel Creek,1986,33093,1113,34206,3323
Fennel Creek,1987,65946,10502,76448,9212
Fennel Creek,1988,43984,4663,48647,13209
Fennel Creek,1989,13765,5689,19454,2813
Fennel Creek,1990,14471,7886,22357,6702
Fennel Creek,1991,10613,771,11384,11945
Fennel Creek,1992,42702,7561,50263,6103
Fennel Creek,1993,28621,13201,41822,5030
Fennel Creek,1994,4865,8122,12987,3515
Fennel Creek,1995,31391,5357,36748,5988
Fennel Creek,1996,9409,3534,12943,15409
Fennel Creek,1997,3670,2475,6145,4379
Fennel Creek,1998,9255,3860,13115,4972
Fennel Creek,1999,30308,12588,42896,3341
Fennel Creek,2000,56019,3934,59953,4796
Fennel Creek,2001,9545,2316,11861,3343
Fennel Creek,2002,66869,9039,75908,4936
Fennel Creek,2003,10416,2932,13348,5317
Fennel Creek,2004,6985,672,7657,1594
Fennel Creek,2005,906,627,1533,2817
Fennel Creek,2006,18953,11741,30694,8278
Fennel Creek,2007,4839,379,5218,6900
Fennel Creek,2008,7874,707,8581,210
Fennel Creek,2009,6744,1599,8343,715
Fennel Creek,2010,22187,1656,23843,5564
Fennel Creek,2011,1324,214,1538,4498
Fennel Creek,2012,2087,370,2457,747
Fennel Creek,2013,448,361,809,1951
Fennel Creek,2014,6249,540,6789,6828
Fennel Creek,2015,136,347,483,946
Fennel Creek,2016,857,137,994,603
Fennel Creek,2017,1073,332,1405,366
Fennel Creek,2018,6633,NA,NA,1416
Fennel Creek,2019,NA,NA,NA,263
Fennel Creek,2020,NA,NA,NA,604
Gates,1968,78371,403,78774,3834
Gates,1969,3556,168,3724,360
Gates,1970,154,0,154,14
Gates,1971,7721,0,7721,115
Gates,1972,128111,322,128433,3128
Gates,1973,9447,3794,13241,351
Gates,1974,1413,0,1413,37
Gates,1975,15888,0,15888,1246
Gates,1976,67835,2350,70185,8820
Gates,1977,17045,2975,20020,1174
Gates,1978,860,198,1058,129
Gates,1979,15902,0,15902,1649
Gates,1980,76467,1381,77848,11032
Gates,1981,14267,3085,17352,1907
Gates,1982,5472,868,6340,439
Gates,1983,26208,348,26556,3055
Gates,1984,115017,21116,136133,9148
Gates,1985,114856,10766,125622,2032
Gates,1986,20390,610,21000,1880
Gates,1987,22546,3604,26150,4105
Gates,1988,305722,4031,309753,17841
Gates,1989,38792,8523,47315,9795
Gates,1990,13177,1607,14784,3304
Gates,1991,18884,1559,20443,4618
Gates,1992,175651,8143,183794,9224
Gates,1993,54410,12557,66967,8780
Gates,1994,21039,12510,33549,1706
Gates,1995,20949,540,21489,4533
Gates,1996,189011,8576,197587,14139
Gates,1997,11493,1174,12667,1877
Gates,1998,3841,563,4404,2442
Gates,1999,37729,2405,40134,1765
Gates,2000,87114,4264,91378,16571
Gates,2001,43190,6741,49931,4007
Gates,2002,11045,694,11739,1144
Gates,2003,3861,687,4548,5036
Gates,2004,40513,8461,48974,5483
Gates,2005,14038,872,14910,8851
Gates,2006,24856,13639,38495,1456
Gates,2007,106460,1193,107653,1079
Gates,2008,66801,10514,77315,1752
Gates,2009,101428,16003,117431,5274
Gates,2010,33061,4140,37201,5903
Gates,2011,33788,547,34335,26445
Gates,2012,21156,1524,22680,6899
Gates,2013,8551,4598,13149,23053
Gates,2014,8593,1086,9679,8495
Gates,2015,12479,850,13329,9686
Gates,2016,8973,243,9216,3535
Gates,2017,23990,7173,31163,3204
Gates,2018,4782,NA,NA,1573
Gates,2019,NA,NA,NA,4969
Gates,2020,NA,NA,NA,3292
Nadina,1973,67467,5741,73208,10726
Nadina,1974,20017,0,20017,2072
Nadina,1975,152807,5729,158536,8655
Nadina,1976,7247,0,7247,898
Nadina,1977,125303,6574,131877,10085
Nadina,1978,28397,2767,31164,1527
Nadina,1979,83912,17456,101368,21272
Nadina,1980,16037,5331,21368,1603
Nadina,1981,73214,3530,76744,11363
Nadina,1982,5364,1411,6775,1423
Nadina,1983,138480,11219,149699,15945
Nadina,1984,20594,4323,24917,3847
Nadina,1985,41411,5442,46853,7731
Nadina,1986,16080,4758,20838,2051
Nadina,1987,170901,20119,191020,15643
Nadina,1988,48538,9201,57739,4514
Nadina,1989,15466,3412,18878,2707
Nadina,1990,14995,739,15734,3405
Nadina,1991,47222,9005,56227,33387
Nadina,1992,54950,49754,104704,2355
Nadina,1993,51434,5268,56702,4797
Nadina,1994,9887,8471,18358,1077
Nadina,1995,65492,0,65492,8452
Nadina,1996,451557,95036,546593,18036
Nadina,1997,2444,742,3186,2624
Nadina,1998,3913,957,4870,1983
Nadina,1999,11388,0,11388,5026
Nadina,2000,233547,25990,259537,67127
Nadina,2001,48020,48105,96125,17886
Nadina,2002,5758,422,6180,1031
Nadina,2003,3370,335,3705,1677
Nadina,2004,200535,18897,219432,13773
Nadina,2005,11563,4655,16218,12141
Nadina,2006,43344,21571,64915,4487
Nadina,2007,10326,1162,11488,1006
Nadina,2008,85994,5141,91135,10236
Nadina,2009,17162,5496,22658,3718
Nadina,2010,143207,77794,221001,11892
Nadina,2011,9067,1095,10162,1195
Nadina,2012,42701,3651,46352,16766
Nadina,2013,3524,6803,10327,7129
Nadina,2014,406903,80635,487538,30742
Nadina,2015,1946,2288,4234,9411
Nadina,2016,40504,4190,44694,16110
Nadina,2017,14534,5937,20471,2323
Nadina,2018,328935,NA,NA,58043
Nadina,2019,NA,NA,NA,8351
Nadina,2020,NA,NA,NA,15909
