Pop_Name,yr,rec4,rec5,R,S
Late Stuart,2001,415504,89810,505314,179534
Late Stuart,2002,121483,4449,125932,17820
Late Stuart,2003,15962,5810,21772,19208
Late Stuart,2004,263681,19017,282698,51310
Late Stuart,2005,104604,14892,119496,164548
Late Stuart,2006,168308,5288,173596,14283
Late Stuart,2007,5173,8547,13720,4144
Late Stuart,2008,183527,6719,190246,57881
Late Stuart,2009,218405,28780,247185,43271
Late Stuart,2010,284997,34954,319951,43476
Late Stuart,2011,3688,249,3937,778
Late Stuart,2012,31715,1954,33669,31771
Late Stuart,2013,216144,18072,234216,70946
Late Stuart,2014,310940,15903,326843,27869
Late Stuart,2015,8665,900,9565,4350
Late Stuart,2016,11511,0,11511,4672
Late Stuart,2017,465373,31393,496766,80081
Late Stuart,2018,211004,NA,NA,67449
Late Stuart,2019,NA,NA,NA,3045
Late Stuart,2020,NA,NA,NA,2487
Stellako,1948,185175,22002,207177,9242
Stellako,1949,173402,6341,179743,40231
Stellako,1950,903768,30719,934487,77410
Stellako,1951,354049,101292,455341,51413
Stellako,1952,93984,16694,110678,19920
Stellako,1953,156192,18023,174215,20388
Stellako,1954,1140205,67783,1207988,72273
Stellako,1955,602677,27091,629768,29937
Stellako,1956,220400,26243,246643,21686
Stellako,1957,143835,8000,151835,18044
Stellako,1958,323089,16215,339304,61581
Stellako,1959,514918,26485,541403,41872
Stellako,1960,143340,21155,164495,22718
Stellako,1961,137046,10068,147114,18136
Stellako,1962,572029,17376,589405,44532
Stellako,1963,713487,13462,726949,41535
Stellako,1964,170674,6969,177643,16161
Stellako,1965,231100,12372,243472,20479
Stellako,1966,336316,22757,359073,51509
Stellako,1967,531886,18350,550236,32467
Stellako,1968,125900,3837,129737,13680
Stellako,1969,235729,17385,253114,25629
Stellako,1970,228808,4130,232938,26727
Stellako,1971,508759,0,508759,20147
Stellako,1972,711226,44784,756010,19938
Stellako,1973,75813,10077,85890,15424
Stellako,1974,281752,19534,301286,23718
Stellako,1975,1832708,64645,1897353,68451
Stellako,1976,216701,27506,244207,63865
Stellako,1977,209138,56488,265626,10894
Stellako,1978,388505,48040,436545,32528
Stellako,1979,478737,145156,623893,152583
Stellako,1980,535944,219255,755199,28477
Stellako,1981,234136,51734,285870,12030
Stellako,1982,309369,46504,355873,34888
Stellako,1983,1097744,158607,1256351,61357
Stellako,1984,744589,266430,1011019,32672
Stellako,1985,97659,30996,128655,21969
Stellako,1986,445398,116424,561822,44564
Stellako,1987,353471,82191,435662,98179
Stellako,1988,566227,425114,991341,200537
Stellako,1989,127212,95047,222259,15903
Stellako,1990,861027,89664,950691,56537
Stellako,1991,299039,37271,336310,54349
Stellako,1992,734393,133793,868186,55138
Stellako,1993,68158,241673,309831,42861
Stellako,1994,593409,88649,682058,63584
Stellako,1995,127344,56540,183884,41135
Stellako,1996,635499,176479,811978,167624
Stellako,1997,68515,56658,125173,23241
Stellako,1998,504421,133503,637924,96961
Stellako,1999,143988,30474,174462,66080
Stellako,2000,647582,70089,717671,195386
Stellako,2001,203410,83718,287128,61590
Stellako,2002,224262,24066,248328,177618
Stellako,2003,34522,14605,49127,43829
Stellako,2004,213103,32647,245750,53755
Stellako,2005,6640,4859,11499,102247
Stellako,2006,389229,81630,470859,79834
Stellako,2007,113525,24716,138241,19626
Stellako,2008,259917,14564,274481,73798
Stellako,2009,152682,49483,202165,15770
Stellako,2010,1500994,128893,1629887,109383
Stellako,2011,42804,12082,54886,25856
Stellako,2012,42515,6855,49370,50572
Stellako,2013,109354,38100,147454,54130
Stellako,2014,360613,31468,392081,240406
Stellako,2015,53124,20761,73885,47613
Stellako,2016,37314,4811,42125,15775
Stellako,2017,131784,19836,151620,49425
Stellako,2018,128932,NA,NA,95963
Stellako,2019,NA,NA,NA,26723
Stellako,2020,NA,NA,NA,22136
Bowron,1948,80266,0,80266,12826
Bowron,1949,62746,0,62746,10744
Bowron,1950,65365,9633,74998,7352
Bowron,1951,103443,0,103443,10254
Bowron,1952,36992,6304,43296,8632
Bowron,1953,70599,4977,75576,5741
Bowron,1954,62971,3293,66264,4566
Bowron,1955,92623,4289,96912,4472
Bowron,1956,27586,10160,37746,3639
Bowron,1957,41008,958,41966,6416
Bowron,1958,17945,167,18112,8308
Bowron,1959,56454,5400,61854,14614
Bowron,1960,17278,451,17729,3525
Bowron,1961,26835,1313,28148,3680
