MAE,RMSE,MASE,Q,model_iteration,max_inc
9915.433333333332,13352.650585183454,4.7060281944797575,2106.964285714286,beta10,417573.5
6722.1,8938.730647207876,4.853126369801202,1385.107142857143,beta20,243962
4201.033333333334,5542.171606569636,4.944054023761489,849.7142857142857,beta30,128557.5
2154.0666666666666,2900.992491085307,4.716442498175373,456.7142857142857,beta40,61760
1165.0333333333333,1361.603558309099,3.8508952111124226,302.5357142857143,beta50,450854
20574,24824.85508987582,6.543521473925735,3144.1785714285716,beta60,427061
1540.5666666666666,1615.021233090554,14.792821216278007,104.14285714285714,beta70,2990
2194.9666666666667,2311.4059826578855,13.627287509238728,161.07142857142858,beta80,2309.5
